0.2	-1	-0.999998	1.76e-06
0.3	-0.999915	-0.999883	3.00512e-05
0.4	-0.996518	-0.995685	0.000182099
0.5	-0.972255	-0.974346	0.000423053
0.6	-0.935253	-0.935155	0.00033855
0.7	-0.893828	-0.892014	0.000239532
0.8	-0.847192	-0.848	0.000262385
0.9	-0.806931	-0.804421	0.000212127
1	-0.76059	-0.761462	0.000141474
1.1	-0.721231	-0.720749	0.000179156
1.2	-0.682843	-0.682257	0.000138133
1.3	-0.647318	-0.646424	0.000153691
1.4	-0.613223	-0.613479	0.000185418
1.5	-0.584051	-0.582825	0.000149371
1.6	-0.555066	-0.55456	0.000148813
1.7	-0.529233	-0.528652	0.000149644
1.8	-0.504512	-0.504597	0.00013634
1.9	-0.483115	-0.482613	0.000116194
2	-0.461893	-0.462011	8.0931e-05
2.1	-0.442454	-0.443122	0.000113394
2.2	-0.425265	-0.425466	6.58587e-05
2.3	-0.409438	-0.409153	0.000121505
2.4	-0.393795	-0.394241	6.63032e-05
2.5	-0.379388	-0.380159	9.40904e-05
2.6	-0.366567	-0.366706	0.000106714
2.7	-0.354774	-0.354256	9.36188e-05
2.8	-0.342185	-0.342876	0.000108106
2.9	-0.331582	-0.33197	0.00011285
3	-0.320548	-0.321381	0.000132404
