0.2	0	0.00109923	0.00109923
0.3	0.00184793	0.00608638	0.00200286
0.4	0.112533	0.100275	0.00409799
0.5	0.350518	0.326495	0.00335598
0.6	0.419102	0.423261	0.00232578
0.7	0.444644	0.432068	0.00196484
0.8	0.440095	0.441081	0.00153925
0.9	0.432001	0.435507	0.000923105
1	0.422304	0.420587	0.000739001
1.1	0.40139	0.397472	0.000768631
1.2	0.373302	0.371519	0.000494381
1.3	0.345411	0.344876	0.000535961
1.4	0.321455	0.318774	0.00037034
1.5	0.295898	0.29422	0.000455345
1.6	0.274024	0.271231	0.000377223
1.7	0.252636	0.249847	0.000343367
1.8	0.230478	0.229901	0.000252201
1.9	0.21304	0.21229	0.000208459
2	0.197457	0.196582	0.000181003
2.1	0.182717	0.18218	0.000157174
2.2	0.169444	0.169122	0.000147466
2.3	0.157489	0.157265	0.000141643
2.4	0.146658	0.146576	0.00012643
2.5	0.137566	0.13698	0.000115907
2.6	0.128674	0.128111	0.000104447
2.7	0.119899	0.119944	0.00010599
2.8	0.112548	0.112636	0.000112526
2.9	0.105711	0.105902	9.07969e-05
3	0.0996638	0.0997526	8.59878e-05
