1 2 2 0
2 1.99998 1.99999 6.59967e-06
3 1.99993 1.99997 1.83113e-05
4 1.99983 1.99993 3.26464e-05
5 1.9997 1.99989 4.92096e-05
6 1.99953 1.99983 6.77453e-05
7 1.99933 1.99976 8.80759e-05
8 1.99909 1.99967 0.00011007
9 1.9988 1.99958 0.000133627
10 1.99849 1.99947 0.000158669
11 1.99813 1.99935 0.000185132
12 1.99773 1.99921 0.000212967
13 1.9973 1.99906 0.000242133
14 1.99683 1.9989 0.000272597
15 1.99631 1.99873 0.000304334
16 1.99576 1.99855 0.000337323
17 1.99516 1.99835 0.000371548
18 1.99453 1.99813 0.000406999
19 1.99385 1.99791 0.000443668
20 1.99313 1.99767 0.00048155
21 1.99237 1.99742 0.000520644
22 1.99156 1.99715 0.000560951
23 1.99071 1.99687 0.000602474
24 1.98981 1.99658 0.00064522
25 1.98887 1.99627 0.000689195
26 1.98788 1.99595 0.000734411
27 1.98684 1.99561 0.000780877
28 1.98575 1.99526 0.000828608
29 1.98461 1.99489 0.000877613
30 1.98342 1.99451 0.000927904
31 1.98218 1.99411 0.000979502
32 1.98088 1.9937 0.00103242
33 1.97953 1.99327 0.00108668
34 1.97813 1.99282 0.00114229
35 1.97667 1.99236 0.00119927
36 1.97515 1.99188 0.00125765
37 1.97357 1.99139 0.00131744
38 1.97193 1.99087 0.00137867
39 1.97023 1.99035 0.00144137
40 1.96846 1.9898 0.00150556
41 1.96663 1.98923 0.00157128
42 1.96474 1.98865 0.00163856
43 1.96277 1.98805 0.00170742
44 1.96073 1.98743 0.00177789
45 1.95863 1.98679 0.00185
46 1.95644 1.98613 0.00192379
47 1.95419 1.98545 0.00199929
48 1.95185 1.98475 0.00207653
49 1.94944 1.98403 0.00215556
50 1.94695 1.98329 0.0022364
51 1.94437 1.98252 0.00231909
52 1.9417 1.98174 0.00240368
53 1.93895 1.98093 0.00249021
54 1.93611 1.9801 0.00257872
55 1.93318 1.97925 0.00266923
56 1.93015 1.97837 0.0027618
57 1.92703 1.97747 0.00285646
58 1.92381 1.97654 0.00295326
59 1.92048 1.97559 0.00305224
60 1.91706 1.97462 0.00315345
61 1.91352 1.97362 0.00325692
62 1.90988 1.97259 0.0033627
